[2026-04-29T05:30:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:31:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:32:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:33:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:34:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:35:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:36:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:37:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:38:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:39:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:40:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:41:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:42:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:43:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:44:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:45:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:46:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.20 | stddev=17.61 | samples=138
[2026-04-29T05:47:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:48:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:49:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:50:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:51:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:52:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:53:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:54:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:55:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:56:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:57:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=9.08 | stddev=17.51 | samples=144
[2026-04-29T05:58:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T05:59:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:00:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:01:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:02:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:03:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:04:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
[2026-04-29T06:05:43] BASELINE_RECALC ip=N/A | condition=recalculation | rate=N/A | baseline=8.77 | stddev=17.21 | samples=146
